Seeded RNG: 2514336011
Running IMIS. InitSamples: 50000000, StepSamples: 100000, FinalResamples 100000, MaxIter 3000
Step Var(w_i)  MargLik    Unique Max(w_i)     ESS     Time
 293  3792.74    30.02 53280.06     0.00 20902.87    48.00
 294  3760.60    30.02 53347.31     0.00 21108.04    51.00
 295  4328.08    30.02 53275.60     0.00 18364.18    50.00
 296  3778.66    30.02 53426.05     0.00 21060.12    47.00
 297  3781.07    30.02 53441.03     0.00 21073.12    51.00
 298  3742.44    30.02 53516.60     0.00 21317.32    49.00
 299  3712.78    30.02 53582.50     0.00 21514.46    49.00
 300  3712.18    30.03 53633.14     0.00 21544.89    49.00
 301  3735.82    30.03 53636.66     0.00 21435.36    46.00
 302  3692.79    30.03 53720.98     0.00 21712.09    49.00
 303  3678.02    30.03 53765.14     0.00 21826.46    50.00
 304  3649.24    30.03 53853.59     0.00 22025.97    47.00
 305  3636.90    30.03 53881.91     0.00 22128.18    51.00
 306  3645.68    30.04 53915.95     0.00 22102.32    50.00
 307  3666.37    30.04 53936.27     0.00 22004.86    49.00
 308  3600.89    30.04 54060.73     0.00 22432.64    47.00
 309  3579.01    30.04 54102.36     0.00 22597.73    54.00
 310  3575.45    30.04 54158.56     0.00 22648.18    49.00
 311  3538.70    30.05 54253.27     0.00 22911.53    48.00
 312  3532.97    30.05 54294.95     0.00 22976.96    49.00
 313  3597.46    30.05 54324.18     0.00 22592.98    52.00
 314  3657.74    30.05 54343.45     0.00 22248.09    49.00
 315  3590.77    30.06 54389.16     0.00 22690.76    48.00
 316  3569.74    30.06 54474.02     0.00 22852.39    51.00
 317  3538.38    30.06 54585.77     0.00 23083.17    49.00
 318  3552.54    30.06 54666.41     0.00 23019.29    47.00
 319  3549.30    30.06 54721.76     0.00 23068.46    48.00
 320  3517.35    30.06 54787.43     0.00 23306.38    48.00
 321  3497.68    30.07 54825.01     0.00 23466.02    50.00
 322  3557.52    30.07 54828.89     0.00 23099.50    49.00
 323  3487.55    30.07 54940.48     0.00 23591.43    48.00
 324  3454.37    30.07 55061.14     0.00 23846.96    49.00
 325  3441.09    30.07 55130.02     0.00 23967.99    47.00
 326  3527.76    30.07 55182.06     0.00 23407.64    48.00
 327  3420.33    30.07 55299.07     0.00 24171.88    48.00
 328  3447.58    30.08 55354.20     0.00 24009.88    49.00
 329  3395.13    30.08 55432.89     0.00 24410.16    49.00
 330  3435.65    30.08 55468.09     0.00 24151.45    53.00
 331  3567.66    30.09 55439.77     0.00 23286.07    49.00
 332  4034.96    30.10 55300.19     0.00 20614.69    52.00
 333  3523.80    30.10 55493.71     0.00 23632.56    55.00
 334  3708.64    30.10 55527.63     0.00 22481.96    51.00
 335  4075.99    30.11 55487.92     0.00 20480.81    51.00
 336  3481.82    30.11 55715.39     0.00 24003.52    50.00
 337  3926.00    30.12 55606.08     0.00 21313.95    52.00
 338  3716.15    30.12 55703.23     0.00 22544.17    51.00
 339  3573.65    30.12 55815.01     0.00 23470.82    49.00
 340  3409.58    30.13 55953.22     0.00 24629.25    53.00
 341  3347.85    30.13 56070.85     0.00 25113.11    51.00
 342  3867.42    30.14 56105.68     0.00 21765.99    49.00
 343  4013.97    30.14 56034.52     0.00 20996.41    49.00
 344  3669.62    30.14 56166.80     0.00 22993.36    47.00
 345  3356.69    30.15 56274.34     0.00 25166.09    50.00
 346  3403.59    30.15 56300.60     0.00 24848.84    47.00
 347  3259.29    30.15 56493.93     0.00 25979.27    48.00
 348  3258.31    30.15 56557.53     0.00 26017.81    48.00
 349  3269.33    30.16 56603.16     0.00 25960.66    49.00
 350  3237.32    30.16 56709.34     0.00 26248.16    51.00
 351  3221.24    30.16 56807.24     0.00 26410.22    50.00
 352  3192.62    30.16 56910.37     0.00 26678.22    48.00
 353  3176.67    30.17 57009.24     0.00 26843.61    50.00
 354  3288.57    30.17 57006.40     0.00 25960.83    49.00
 355  3176.16    30.17 57107.04     0.00 26910.85    50.00
 356  3150.23    30.17 57172.58     0.00 27164.03    53.00
 357  3114.94    30.17 57273.79     0.00 27503.72    50.00
 358  3106.47    30.18 57322.21     0.00 27610.92    49.00
 359  3124.74    30.18 57387.22     0.00 27481.47    48.00
 360  3140.08    30.18 57393.66     0.00 27379.11    54.00
 361  3097.76    30.18 57455.31     0.00 27785.30    61.00
 362  3062.19    30.18 57509.86     0.00 28140.60    50.00
 363  3039.58    30.18 57586.36     0.00 28382.75    48.00
 364  3016.58    30.18 57679.84     0.00 28632.22    48.00
 365  3036.94    30.19 57699.17     0.00 28473.23    53.00
 366  3011.90    30.19 57744.44     0.00 28743.12    49.00
 367  2999.40    30.19 57831.08     0.00 28896.15    52.00
 368  3078.71    30.20 57864.41     0.00 28184.46    49.00
 369  2971.94    30.20 57977.34     0.00 29230.29    50.00
 370  3031.36    30.20 57946.55     0.00 28690.52    54.00
 371  2980.59    30.20 58010.13     0.00 29212.56    56.00
 372  2961.84    30.20 58072.40     0.00 29431.21    52.00
 373  2957.85    30.20 58108.68     0.00 29504.70    50.00
 374  3002.04    30.20 58111.63     0.00 29103.82    49.00
